Epact,D.L.,Day,Feast,Rank,Month
,,,The Vigil of the Ascension,V,6
,,,"Ss. Primus & Felician, Martyrs",M,6
xvii,g,10,The Ascension of Our Lord,"D1, O3",6
xvi,A,11,"St. Barnabas, Apostle",Gd,6
,,,Day II within the Octave of the Ascension,Sd,6
xv,b,12,Day III within the Octave of the Ascension,Sd,6
,,,"Ss. Basilides, Cyrinus, Nabor & Nazarius, Martyrs",M,6
xiv,c,13,The Sunday within the Octave of the Ascension,Sd,6
xiii,d,14,"St. Basil the Great, Bishop, Confessor & Doctor",Gd,6
,,,Day V within the Octave of the Ascension,Sd,6
xii,e,15,Day VI within the Octave of the Ascension,Sd,6
,,,"Ss. Vitus, Modestus & Crescentia, Martyrs",M,6
xi,f,16,Day VII within the Octave of the Ascension,Sd,6
x,g,17,The Octave of the Ascension,Gd,6
ix,A,18,"St. Ephrem the Syrian, Deacon, Confessor & Doctor",D,6
,,,Friday after the Octave of the Ascension,Sd,6
,,,"Ss. Mark & Marcellianus, Martyrs",M,6
viii,b,19,The Vigil of Pentecost,V1,6
,,,"Ss. Gervase & Protase, Martyrs",M,6
vii,c,20,Pentecost Sunday,"D1, O1",6
vi,d,21,Monday within the Octave of Pentecost,D1,6
v,e,22,Tuesday within the Octave of Pentecost,D1,6
,,,"St. Alban, Protomartyr of England",D,6
iv,f,23,Ember Wednesday in Pentecost,Sd,6
,,,"St. Etheldreda, Queen & Virgin",M,6
iii,g,24,Thursday within the Octave of Pentecost,Sd,6
ii,A,25,Ember Friday in Pentecost,Sd,6
i,b,26,Ember Saturday in Pentecost,Sd,6
,,,"Ss. John & Paul, Martyrs",D,6
*,c,27,The Feast of the Most Holy Trinity,D1,6
,,,I Sunday after Pentecost,Sd,6
xxix,d,28,Nativity of St. John the Baptist (transferred),"D1, OC",6
xxviii,e,29,"Ss. Peter & Paul, Apostles","D1, OC",6
xxvii,f,30,"Commemoration of St. Paul, Apostle",Gd,6
,,,"Commemoration of St. Peter, Apostle",Comm,6
,,,Day VII within the Octave of St. John Baptist,Sd,6
xxvi,g,1,The Feast of the Most Holy Body of Christ,"D1, O2",7
,,,Octave of St. John Baptist,Gd,7
25 xxv,A,2,Day II within the Octave of Corpus Christi,Sd,7
,,,Day IV within the Octave of Ss. Peter & Paul,Sd,7
,,,"St. John of San Francisco, Bishop & Confessor",M,7
,,,"Ss. Processus & Martinian, Martyrs",M,7
xxiv,b,3,Day III within the Octave of Corpus Christi,Sd,7
,,,"St. Irenæus of Lyon, Bishop & Martyr",D,7
,,,Day V within the Octave of Ss. Peter & Paul,Sd,7
xxiii,c,4,The Sunday within the Octave of Corpus Christi,Sd,7
,,,II Sunday after Pentecost [I Trinity],Sd,7
,,,Day VI within the Octave of Ss. Peter & Paul,Sd,7
xxii,d,5,Day V within the Octave of Corpus Christi,Sd,7
,,,Day VII within the Octave of Ss. Peter & Paul,Sd,7
xxi,e,6,Day VI within the Octave of Corpus Christi,Sd,7
,,,The Octave of Ss. Peter & Paul,Gd,7
xx,f,7,Day VII within the Octave of Corpus Christi,Sd,7
,,,"Ss. Cyril and Methodius, Bishops & Confessors",D,7
xix,g,8,Octave of Corpus Christi,Gd,7
xviii,A,9,Feast of the Most Sacred Heart of Jesus,D2,7
xvii,b,10,Most Precious Blood of Our Lord Jesus Christ (transferred),D2,7
,,,Saturday Office of the B.V.M.,S,7
,,,"The Seven Holy Brothers, with Ss. Rufina & Secunda, Martyrs",M,7
,,,"St. Joseph of Damascus (Priest) & his companions, Martyrs",M,7
xvi,c,11,III Sunday after Pentecost [II Trinity],Sd,7
,,,[Solemnity of St. Benedict (Monastics & Oblates Only)],Gd,7
